id,datum,start_datum,end_datum,zeit,titel,prenom,referent,postnom,art,ort,youtube,podcast,Zusammenfassung,kursnummer,institution_ort,zoom_link,meeting_id,homepage_link,parent_id,parent_titel,is_subevent,z_kommentare
234_1,2025-11-23,2025-11-23,2025-11-23,,Krieg Flucht Trauma,Dr. ,Helga Ehrmann-Falkenau,,Seminar,"Teresianum, Rom, Italien",,,"In der Psychotherapie mit einem traumatisierten Menschen, der Krieg und Flucht überlebt hat, zeigt sich uns auf mehreren Ebenen sein zerbrochenes Leben, seine fragmentierte Psyche, oft seine überwältigenden, unfassbaren Verluste. Es zeigt sich aber auch die Lebenskraft, die der Personen innewohnt und aufgrund derer sie Krieg und Flucht überleben konnte. Es werden innere und äußere Kraftquellen zugänglich, die psychotherapeutisch genutzt werden können, sodass eine ausreichende Verarbeitung ihrer negativen zwischenmenschlichen Extremerlebnisse und der Aufbau neuer Lebensperspektiven möglich werden können. Neue gute und sichere Beziehungen und unterstützende Bedingungen im Asylland -die Psychotherapie ist davon nur ein Beispiel- können Menschen helfen, Mut zu schöpfen und die Fähigkeiten zu entwickeln, auch unter den sehr schwierigen Bedingungen einer neuen Sprache und einer zunächst fremden Kultur sich wieder ein Leben aufzubauen. An diesem Tag werden wir von Lebensgeschichten hören, von Geschichten gelungener und misslungener Bewältigung. Wir werden uns mit Themen der Traumatherapie auseinandersetzen, auch manche ihrer Methoden ansatzweise ausprobieren. Wir werden die Rolle zwischenmenschlicher Güte und die Kraft einer stärkenden und schützenden Religiosität fürs Überleben und Weiterleben reflektieren. Immer wieder wird dabei auf das Leben und auf das Werk Edith Steins Bezug genommen werden. ", ,,,,,232,Umbruch Wandel Mut: Edith Stein Sommerakademie 2025,0,abgesagt
234_2,2025-11-24,2025-11-24,2025-11-24,,Innere Stärke und Friede in Zeiten der Instabilität,P. Prof. ,Christof Betschart, OCD,Seminar,"Teresianum, Rom, Italien",,,"Im Kontext zweier Weltkriege ist Edith Steins Leben vom Spannungsfeld ihrer jüdisch-deutschen Identität, von akademischen Herausforderungen und inneren Krisen gezeichnet. Wir untersuchen, auf welche Weise ihre Christusbeziehung angesichts der multiplen Schwierigkeiten zu ihrem Halt und ihrer Friedensquelle wurde. Gleichzeitig geht es darum, mit Stein die Frage nach Innerlichkeit und Lebenskraft zu stellen und zu vertiefen, welche spirituellen Konsequenzen daraus erwachsen.", ,"Fakultät Teresianum, Rom",,,,232,Umbruch Wandel Mut: Edith Stein Sommerakademie 2025,1,abgesagt
234_3,2025-11-25,2025-11-25,2025-11-25,,Privat und fromm – oder öffentlich und engagiert? Glaube und Kirche in der säkularen Welt von heute,Prof. ,Tonke Dennebaum,,Seminar,"Teresianum, Rom, Italien",,,"Umbruch und Wandel betreffen Staat und Kirche gleichermaßen. Unter diesen Bedingungen ist zu fragen: Welche Bedeutung haben Glaube und Kirche im pluralen und säkularen Staat von heute? Kann der Glaube Positives eintragen, den Wandel mitgestalten? Hier sind zunächst Grundlagen zu klären: Was bedeutet Säkularisierung und was sind ihre Gründe? Ist der Mensch von heute wirklich säkular oder bindet er seine Verehrung einfach nur an Anderes? Und schließlich: Bleibt Religion auch zukünftig kraftvoll? Die Diskussion dazu ist in Philosophie, Theologie und Soziologie in vollem Gange. Texte von Charles Taylor, William Cavanaugh oder Hartmut Rosa helfen, einen Zugang zu finden. Und auch Edith Stein trägt hier viel bei – in ihren Texten zum Staat, zu Freiheit und Spiritualität, aber auch biographisch. Tonke Dennebaum, Dr. theol. habil., ist Leiter des Kommissariats der Katholischen Bischöfe im Lande Hessen und apl. Professor für Fundamentaltheologie und Religionswissenschaft an der Johannes Gutenberg-Universität Mainz. ", ,Mainz,,,,232,Umbruch Wandel Mut: Edith Stein Sommerakademie 2025,1,abgesagt
234_4,2025-11-26,2025-11-26,2025-11-26,,Proexistenz als Schlüsselthema für das Verständnis Edith Steins: Im Spannungsfeld zwischen Selbst-Sein und Sein-für-Andere,Dr. ,Daniela Köder,,Seminar,"Teresianum, Rom, Italien",,,"Das Thema der Akademie Umbruch – Wandel – Mut hat viel mit dem Verständnis des Menschen zu tun, der sich in der Welt, in Beziehung zu Anderen und Anderem befindet. Wir wollen an diesem Tag anhand einiger biographischer Stationen anthropologische und theologische Einsichten Edith Steins nachgehen, die auch für unser gelingendes Leben wertvoll sein können. Es soll erarbeitet werden, inwieweit das Sein-für-Andere, die Proexistenz, zu einem erfüllten Selbstsein notwendig ist und in allem Wandel Beständigkeit zu geben vermag.", ,Ditzingen,,,,232,Umbruch Wandel Mut: Edith Stein Sommerakademie 2025,1,abgesagt
234_5,2025-11-27_2025-11-23,2025-11-27,2025-11-23,,Energie für den Wandel: Theologie trifft Technologie,"[""Prof. Dr. "", ""P. Dr. ""]","[""Edda Pulst"", ""Lukasz Steinert""]","["""", "" OCD""]",Seminar,"Teresianum, Rom, Italien",,,"Wir stecken mittendrin – in den Umbrüchen; Ersatz fossiler Brennstoffe und Einsatz Künstlicher Intelligenz gehören dazu – und mit ihnen ein unvorstellbarer Energiehunger. Einige KI-Anwendungen verbrauchen Strom in der Größenordnung ganzer Länder. Wären in Deutschland alle PKW E-Autos, bräuchten sie ein Sechstel des deutschen Stroms. Auch wir Menschen benötigen Energie für Umbrüche –persönliche Energie, um Wandel kreativ zu gestalten. Genau hier begegnen sich Theologie und Technologie: Entwickeln gemeinsam Neuen Mut. Erhöhen Wirkungsgrade. Speichern Energie für Dunkelflauten. Setzen Prioritäten. Anstrengend, aber unverzichtbar. Ohne Anstrengung geht es nun einmal nicht. Edith Stein ist sich dessen bewusst. Menschen müssen sich anstrengen, um ihr Leben gut führen und Verantwortung für andere und die Welt übernehmen zu können. Sie selbst legt große Selbstdisziplin, Stärke und viel Mut an den Tag. Zugleich warnt sie davor, sich einseitig auf die eigenen Willensanstrengungen zu konzentrieren, „ohne sich den Anschluss an die geistigen Kraftquellen zu sichern, in denen die Person wahrhaft leben und aus denen sie sich erneuern kann“. Sie stellt nüchtern fest, wozu solche Anstrengungen im Endeffekt führen: „Leib und Seele werden davon aufgezehrt“. Edith Stein weiß um die Schwäche der eigenen Kraft, und setzt auf die Wirklichkeit des Unverdienten, aber frei Geschenkten, das in der theologischen Sprache als Gnade bezeichnet wird. „Das Eigentümliche des seelischen Lebens ist, dass es der Seele zuströmen muss“. Ausgehend von Zitaten von Edith Stein und der theologischen Debatte werden wir in der Konfrontation mit dem technisch Möglichen Energiequellen freilegen – nicht nur für die aktuellen Umbrüche. ", ,,,,,232,Umbruch Wandel Mut: Edith Stein Sommerakademie 2025,1,abgesagt
235,2025-10-23_2025-10-24,2025-10-23,2025-10-24,,Umbruch Wandel Mut: Edith Stein Tagung 2025,"[""Prof. "", ""P. Dr. "", ""S. Em. Dr. "", ""P. Dr. "", """", ""Dr.""]","[""Hanna-Barbara Gerl-Falkovitz"", ""Roberto Maria Pirastu"", ""Christoph Schönborn"", ""Lukasz Steinert"", ""Valquiria Gonçalves de Oliveira"", ""Daniela Köder""]","["""", "" OCD"", "" OP"", "" OCD"", """"]",Tagung,Erzbischöfliches Palais,,,, ,,,,https://tagung.karmel.at/?page_id=492,,,0,
235_1,2025-10-23,2025-10-23,2025-10-23,19.30 Uhr,In Zeiten politischen Wandels: Worauf gründet Gemeinschaft?,Prof. ,Hanna-Barbara Gerl-Falkovitz,,Vortrag,Erzbischöfliches Palais,https://www.youtube.com/watch?v=l-aw8D8woPQ,https://www.buzzsprout.com/870355/episodes/18100886-in-zeiten-politischen-wandels-worauf-grundet-gemeinschaft-hanna-barbara-gerl-falkovitz.mp3,"Nachdenken mit Edith Stein „Entscheidend bleibt für Edith Stein, gerade im Blick auf die nach dem Ersten Weltkrieg entstehende Vergötzung von Gemeinschaft, Rasse, Volk, daß jede Gemeinschaft deutlich auf dem Einzelnen, der Person und ihrer Verantwortlichkeit, aufgebaut wird. Diese Wurzel ihrer Überlegungen entspricht einer zutiefst demokratischen Theorie, die freilich den urteilsfähigen Einzelnen voraussetzt und ohne ihn nur eine von verdeckten Absichten gelenkte Demokratie wird. Zudem entwickelt Edith Stein eine Theorie über den Zusammenhang von Recht und Staat", ,Heiligenkreuz,,,https://tagung.karmel.at,233,Umbruch Wandel Mut: Edith Stein Tagung 2025,1,
235_2,2025-10-24,2025-10-24,2025-10-24,9.30 Uhr, Edith Stein inmitten der Krisen: Krisen und Umbrüchen im eigenen Leben,P. Dr. ,Roberto Maria Pirastu,OCD,Vortrag,Erzbischöfliches Palais,https://youtu.be/3WuBPx0XQsQ?si=tbn0w9pnoXZHIokf,https://www.buzzsprout.com/870355/episodes/18259666-edith-stein-inmitten-der-krisen-krisen-und-umbruchen-im-eigenen-leben-roberto-maria-pirastu.mp3,"Das Leben von Edith Stein ist durch Wandel und Veränderung, Krisen und Wiederbeginn gekennzeichnet: in ihrem persönlichen Leben, in der Familie und im Freundeskreis, in ihrer geistigen Biografie, geprägt durch Philosophie und Religion, in ihrem intellektuellen und beruflichen Leben, u.a. angesichts des Zuwachses am falsch gedeuteten und letztendlich verbrecherisch angewandten technischen Fortschritt. Die Welt um sie herum war durch vielfältigen gesellschaftlichen und politischen Wandel, durch schlimmste Gewalt geprägt, aber auch durch Hoffnung und große Weltneugier, wunderbare Kunst und beeindruckende wissenschaftliche Visionen. Woher kommen die Lebenskräfte einer Person, die Widerstandskraft eines Individuums? Wie kann man in der Veränderung anstatt Chaos und Abgrund einen neuen Weg, neue Chancen erkennen? Wie verwandelt unsere Kreativität die uns gegebene Welt? Mein Vortrag soll ein Beitrag zur philosophischen Resilienzforschung sein. (der ursprünglich geplante Vortrag von Dr. Małgorzata Bogaczyk-Vormayr musste leider krankheitsbedingt entfallen)",,Rom,,,https://tagung.karmel.at,233,Umbruch Wandel Mut: Edith Stein Tagung 2025,1,
235_3,2025-10-24,2025-10-24,2025-10-24,11.00 Uhr,Dank an S. Em. Dr. Christoph Kardinal Schönborn OP für seine Schirmherrschaft seit der Gründung der ESGÖ,S. Em. Dr. ,Christoph Schönborn,OP,Vortrag,Erzbischöfliches Palais,,,,,Rom,,,https://tagung.karmel.at,233,Umbruch Wandel Mut: Edith Stein Tagung 2025,1,
235_4,2025-10-24,2025-10-24,2025-10-24,14.30 Uhr,Geschichten des Ankommens: Kontinuität und Bruch bei John Henry Newman und Edith Stein,P. Dr. ,Lukasz Steinert,OCD,Vortrag,Erzbischöfliches Palais,https://youtu.be/knkaI9GK9jQ?si=BcMYcJMANPwqsysT,https://www.buzzsprout.com/870355/episodes/18262950-geschichten-des-ankommens-kontinuitat-und-bruch-bei-john-henry-newman-und-edith-stein-lukas-steinert.mp3,"In den Jahren nach ihrer Konversion beschäftigte sich Edith Stein eingehend mit den Schriften des englischen Konvertiten John Henry Newman. Sie äußert ihre Bewunderung für seinen Lebensweg mit den Worten: „Sein ganzes Leben ist nur ein Suchen nach der religiösen Wahrheit gewesen und hat ihn mit unausweichlicher Notwendigkeit zur katholischen Kirche geführt.“ Sowohl die jüdische Philosophin als auch der anglikanische Theologe verstanden ihre Konversionen als Erfüllung eines tiefen inneren Suchens – auch wenn dieser Schritt zugleich einen schmerzlichen Bruch mit dem bisherigen Leben bedeutete. Doch gerade diese biografischen Brüche lassen eine überraschende Kontinuität erkennen: eine beharrliche Sehnsucht, die im Verborgenen wirkte und sich schließlich auf unerwartete Weise offenbarte. Der Vortrag geht den biografischen und geistigen Entwicklungen beider Persönlichkeiten nach und zeigt, wie sich Bruch und Kontinuität in ihren Lebensgeschichten, Denkbewegungen und Glaubensentscheidungen durchdringen. In Anlehnung an Newmans Wort „Ich habe nicht gegen das Licht gesündigt“ wird deutlich, dass Treue zur Wahrheit auch Mut zum Aufbruch und zur Wandlung bedeuten kann.",,Rom,,,https://tagung.karmel.at,233,Umbruch Wandel Mut: Edith Stein Tagung 2025,1,
